"source","search","url"
"github","tensorflow","https://api.github.com/repositories/97647935/contents/vignettes/gaussMixture.Rmd?ref=a9be3e12af90fb7a2cb839b1d38e3ac7afa01c26"
"github","tensorflow","https://api.github.com/repositories/97647935/contents/inst/doc/mvGauss.Rmd?ref=a9be3e12af90fb7a2cb839b1d38e3ac7afa01c26"
"github","tensorflow","https://api.github.com/repositories/97647935/contents/vignettes/mvGauss.Rmd?ref=a9be3e12af90fb7a2cb839b1d38e3ac7afa01c26"
"github","tensorflow","https://api.github.com/repositories/106534209/contents/ch0-install_and_test.Rmd?ref=ed2f5c42820b85cd00535dfdac92c5d403537331"
"github","tensorflow","https://api.github.com/repositories/95151342/contents/content/tensorflow/articles/using_tensorflow_api.Rmd?ref=d3de74e0607bca99a34a53ee66e33f3767e0a307"
"github","tensorflow","https://api.github.com/repositories/61095254/contents/r-tensorflow.Rmd?ref=f6bdf14e31fc839416a066c6cfd605f427fa7e0c"
"github","tensorflow","https://api.github.com/repositories/98777022/contents/inst/doc/why_use_keras.Rmd?ref=0cb8366f1372e29b55a8c45430116e3ea6e958af"
"github","tensorflow","https://api.github.com/repositories/98777022/contents/vignettes/why_use_keras.Rmd?ref=0cb8366f1372e29b55a8c45430116e3ea6e958af"
"github","tensorflow","https://api.github.com/repositories/151667463/contents/keras/vignettes/why_use_keras.Rmd?ref=78d509aaf41a4c4dff408f7c95260fdf300d728c"
"github","tensorflow","https://api.github.com/repositories/140599161/contents/_posts/2018-01-10-r-interface-to-cloudml/r-interface-to-cloudml.Rmd?ref=3437f12f7869999a520f06fc402e8d877c021a71"
"github","tensorflow","https://api.github.com/repositories/95151342/contents/content/tools/local_gpu.Rmd?ref=dcdf2fd8233b07bdb04c6ace54fb47a12e6de9b9"
"github","tensorflow","https://api.github.com/repositories/95705985/contents/content/post/2018-02-06-tensorflow-for-r.Rmd?ref=5d421e30d0046f3f5895fbf381cb2b0fd5b9a481"
"github","tensorflow","https://api.github.com/repositories/103399876/contents/content/post/2018-02-05_deep_learning_keras_tensorflow_18_07.Rmd?ref=5b227353a9590c0ddee30c351b65e152dccaa10a"
"github","tensorflow","https://api.github.com/repositories/103399876/contents/public/post/2018-02-05_deep_learning_keras_tensorflow_18_07.Rmd?ref=5b227353a9590c0ddee30c351b65e152dccaa10a"
"github","tensorflow","https://api.github.com/repositories/156220288/contents/Why%20Use%20Keras.Rmd?ref=e162b43d5f2b341227ec0cfb9bd3982c6a764d82"
"github","tensorflow","https://api.github.com/repositories/140599161/contents/_posts/2017-10-04-tfruns/tfruns.Rmd?ref=3437f12f7869999a520f06fc402e8d877c021a71"
"github","tensorflow","https://api.github.com/repositories/146280939/contents/finistr2018_website/atelier2_tensorflow.Rmd?ref=0326c8621f9b5d77305e5849af52a8092570c666"
"github","tensorflow","https://api.github.com/repositories/95151342/contents/content/tensorflow/articles/basic_usage.Rmd?ref=d3de74e0607bca99a34a53ee66e33f3767e0a307"
"github","tensorflow","https://api.github.com/repositories/143641107/contents/content/post/2018-02-05_deep_learning_keras_tensorflow_18_04.Rmd?ref=18151ccf7c8a07076f486822005dce4b7bf96950"
"github","tensorflow","https://api.github.com/repositories/143641107/contents/public/post/2018-02-05_deep_learning_keras_tensorflow_18_04.Rmd?ref=18151ccf7c8a07076f486822005dce4b7bf96950"
"github","tensorflow","https://api.github.com/repositories/95151342/contents/content/tools/tfdeploy/articles/introduction.Rmd?ref=d3de74e0607bca99a34a53ee66e33f3767e0a307"
"github","tensorflow","https://api.github.com/repositories/113929936/contents/drafts/2017-12-11-simple-linear-regression-with-tensorflow.Rmd?ref=d1b16b8ef58be69b295d4e9c63fde4ab559b1371"
